 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2003";"2005";"2007";"2008";"2009";"2011";"2012";"2013";"2015";"2016";"2017";"2018";"Total"
"110020 Porto Velho";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"120040 Rio Branco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130080 Borba";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"130170 Humaitá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130185 Iranduba";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130190 Itacoatiara";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130260 Manaus";4;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"130290 Maués";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"140005 Alto Alegre";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4
"140023 Caroebe";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"140030 Mucajaí";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140070 Uiramutã";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150040 Alenquer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"150100 Aveiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150110 Bagre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150480 Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150553 Parauapebas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150613 Redenção";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170240 Arraias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"172210 Xambioá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"210140 Balsas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240810 Natal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290670 Cândido Sales";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"290910 Coribe";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291470 Itaberaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"293150 Teofilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"310110 Aimorés";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"310350 Araguari";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"310490 Baependi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310540 Barão de Cocais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"310560 Barbacena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310590 Barroso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310610 Belmiro Braga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310620 Belo Horizonte";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;2;5
"310670 Betim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310690 Bicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"310860 Brasília de Minas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"310900 Brumadinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"311000 Caeté";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"311170 Canaã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"311340 Caratinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"311390 Carmo da Cachoeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"311740 Conceição de Ipanema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"311780 Conceição dos Ouros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"311860 Contagem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"311880 Coração de Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"312400 Ervália";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"312640 Fortuna de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"312680 Frei Gaspar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"312738 Goianá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"312820 Guaraciaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"313055 Imbé de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"313090 Inhapim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"313120 Ipanema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"313170 Itabira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"313240 Itajubá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"313270 Itambacuri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"313320 Itanhomi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"313540 Jeceaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"313655 José Raydan";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"313670 Juiz de Fora";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14
"313700 Ladainha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"313770 Lajinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"313860 Lima Duarte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"313940 Manhuaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"313950 Manhumirim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"314000 Mariana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"314020 Maripá de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314050 Martinho Campos";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"314070 Mateus Leme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314080 Matias Barbosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314180 Minas Novas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"314480 Nova Lima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"314530 Novo Cruzeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"314560 Oliveira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314590 Ouro Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"314610 Ouro Preto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"314730 Paraisópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314770 Passa Tempo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314780 Passa-Vinte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314930 Pedro Leopoldo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"314950 Pequeri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315010 Piau";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315015 Piedade de Caratinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"315080 Piranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315230 Porto Firme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"315240 Poté";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"315250 Pouso Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315310 Presidente Bernardes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315390 Raposos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315480 Rio Acima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315530 Rio Manso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315540 Rio Novo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315590 Rio Preto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"315600 Rio Vermelho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"315670 Sabará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"315680 Sabinópolis";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"315720 Santa Bárbara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"315930 Santa Rita de Jacutinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
