 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"Região/Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2003";"2004";"2005";"2007";"2008";"2009";"2011";"2012";"2013";"2015";"2016";"2017";"2018";"Total"
"Região Norte";5;1;6;2;1;4;1;1;1;3;1;-;1;1;-;-;1;7;1;37
".. Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
".. Acre";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".. Amazonas";5;-;-;1;-;3;1;-;-;2;-;-;-;-;-;-;1;-;1;14
".. Roraima";-;-;4;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;8
".. Pará";-;-;2;-;-;-;-;1;-;-;1;-;1;-;-;-;-;6;-;11
".. Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"Região Nordeste";-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;1;1;6
".. Maranhão";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
".. Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
".. Bahia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;4
"Região Sudeste";-;-;-;-;1;3;6;-;-;-;3;9;-;-;-;-;4;180;252;458
".. Minas Gerais";-;-;-;-;-;3;6;-;-;-;2;-;-;-;-;-;1;74;95;181
".. Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88;-;88
".. Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;79;84
".. São Paulo";-;-;-;-;1;-;-;-;-;-;1;9;-;-;-;-;3;13;78;105
"Região Sul";-;-;-;-;-;-;-;-;-;-;3;3;-;1;-;1;-;1;2;11
".. Paraná";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;5
".. Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
".. Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;1;3;-;1;-;-;-;-;-;5
"Região Centro-Oeste";-;-;1;4;17;-;-;-;-;2;11;-;-;-;-;2;3;6;1;47
".. Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
".. Mato Grosso";-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".. Goiás";-;-;-;4;11;-;-;-;-;2;6;-;-;-;-;1;3;2;-;29
".. Distrito Federal";-;-;-;-;4;-;-;-;-;-;5;-;-;-;-;1;-;3;1;14
"Total";5;1;7;6;20;7;7;1;1;5;18;13;1;2;1;4;8;195;257;559
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
