 Mortalidade - Distrito Federal
Óbitos p/Residênc por Faixa Etária e Sexo
Município: 530010 Brasília
Período:2015
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";253;233;2;488
"1 a 4 anos";44;30;-;74
"5 a 9 anos";18;15;-;33
"10 a 14 anos";37;27;-;64
"15 a 19 anos";221;51;-;272
"20 a 29 anos";435;112;-;547
"30 a 39 anos";553;190;-;743
"40 a 49 anos";664;380;-;1044
"50 a 59 anos";915;640;-;1555
"60 a 69 anos";1060;823;-;1883
"70 a 79 anos";1251;1059;-;2310
"80 anos e mais";1233;1697;-;2930
"Idade ignorada";24;5;3;32
"Total";6708;5262;5;11975
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
