FEBRE AMARELA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2007-2016
"Município de residência";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"Total"
"130010 Anori";-;-;-;-;-;-;1;-;-;-;1
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;1;1
"130250 Manacapuru";-;2;-;-;-;-;-;-;-;1;3
"130290 Maués";-;1;-;-;-;-;-;-;-;-;1
"140023 Caroebe";-;1;-;-;-;-;-;-;-;-;1
"150020 Acará";-;-;-;-;-;-;1;-;-;-;1
"150030 Afuá";-;1;-;-;1;-;-;-;1;-;3
"150180 Breves";-;-;1;-;-;-;-;-;-;-;1
"150310 Gurupá";-;-;-;-;-;-;-;-;1;-;1
"150470 Moju";-;-;-;-;-;1;-;-;-;-;1
"150480 Monte Alegre";-;-;-;-;-;-;-;1;-;-;1
"150506 Novo Repartimento";-;-;1;-;-;-;-;-;-;-;1
"150553 Parauapebas";-;-;1;-;-;-;-;-;-;-;1
"150795 Tailândia";-;-;-;-;-;1;-;-;-;-;1
"310350 Araguari";-;-;1;-;-;-;-;-;-;-;1
"311340 Caratinga";-;-;-;-;-;-;-;-;-;3;3
"312120 Delfinópolis";-;-;-;-;-;-;-;-;-;1;1
"312160 Diamantina";-;-;-;1;-;-;-;-;-;-;1
"312385 Entre Folhas";-;-;-;-;-;-;-;-;-;1;1
"312680 Frei Gaspar";-;-;-;-;-;-;-;-;-;1;1
"313055 Imbé de Minas";-;-;-;-;-;-;-;-;-;5;5
"313090 Inhapim";-;-;-;-;-;-;-;-;-;1;1
"313120 Ipanema";-;-;-;-;-;-;-;-;-;2;2
"313270 Itambacuri";-;-;-;-;-;-;-;-;-;2;2
"313700 Ladainha";-;-;-;-;-;-;-;-;-;10;10
"313920 Malacacheta";-;-;-;-;-;-;-;-;-;3;3
"314390 Muriaé";-;-;1;-;-;-;-;-;-;-;1
"314530 Novo Cruzeiro";-;-;-;-;-;-;-;-;-;1;1
"315015 Piedade de Caratinga";-;-;-;-;-;-;-;-;-;4;4
"315240 Poté";-;-;-;-;-;-;-;-;-;2;2
"315250 Pouso Alegre";-;-;1;-;-;-;-;-;-;-;1
"316450 São Sebastião do Maranhão";-;-;-;-;-;-;-;-;-;2;2
"316860 Teófilo Otoni";-;-;-;-;-;-;-;-;-;2;2
"316990 Ubá";-;-;-;1;-;-;-;-;-;-;1
"317005 Ubaporanga";-;-;-;-;-;-;-;-;-;2;2
"317040 Unaí";-;-;1;-;-;-;-;-;-;-;1
"317120 Vespasiano";-;-;2;-;-;-;-;-;-;-;2
"330430 Rio Bonito";-;-;-;-;-;-;-;-;1;-;1
"350170 Américo Brasiliense";-;-;-;-;-;-;-;-;-;1;1
"350450 Avaré";-;-;-;2;-;-;-;-;-;-;2
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;1;1
"350800 Buri";-;-;-;5;-;-;-;-;-;-;5
"351310 Cravinhos";-;-;1;-;-;-;-;-;-;-;1
"351880 Guarulhos";-;-;-;-;-;-;-;-;1;-;1
"352350 Itatinga";1;-;-;2;-;-;-;-;-;-;3
"353060 Mogi das Cruzes";-;-;1;-;-;-;-;-;-;-;1
"353880 Piraju";-;-;-;13;-;-;-;-;-;-;13
"354300 Ribeirão Branco";-;-;1;-;-;-;-;-;-;-;1
"354340 Ribeirão Preto";-;-;-;-;-;-;-;-;-;1;1
"354880 São Caetano do Sul";-;-;1;-;-;-;-;-;-;1;2
"354890 São Carlos";-;-;1;-;-;-;-;-;-;-;1
"355030 São Paulo";-;-;5;-;-;-;-;-;-;1;6
"355120 Sarutaiá";-;-;-;6;-;-;-;-;-;-;6
"410060 Alto Paraná";-;-;-;1;-;-;-;-;-;-;1
"410150 Arapongas";-;-;-;-;-;-;-;-;1;-;1
"410690 Curitiba";-;-;1;-;-;-;-;-;-;-;1
"411325 Laranjal";-;-;2;-;-;-;-;-;-;-;2
"411520 Maringá";-;-;1;-;-;-;-;-;-;-;1
"430150 Augusto Pestana";-;-;1;-;-;-;-;-;-;-;1
"430250 Bossoroca";-;-;1;-;-;-;-;-;-;-;1
"430750 Espumoso";-;-;-;1;-;-;-;-;-;-;1
"431020 Ijuí";-;-;-;1;-;-;-;-;-;-;1
"431337 Nova Santa Rita";-;-;1;-;-;-;-;-;-;-;1
"431680 Santa Cruz do Sul";-;-;-;6;-;-;-;-;-;-;6
"431750 Santo Ângelo";-;-;2;1;-;-;-;-;-;-;3
"431920 São Nicolau";-;-;-;1;-;-;-;-;-;-;1
"432270 Vera Cruz";-;-;-;5;-;-;-;-;-;-;5
"500320 Corumbá";-;-;-;-;1;-;-;-;-;-;1
"500540 Maracaju";-;-;1;-;-;-;-;-;-;-;1
"510370 Feliz Natal";-;-;-;1;-;-;-;-;-;-;1
"510410 Guarantã do Norte";-;-;1;-;-;-;-;-;-;-;1
"510510 Juara";-;1;-;-;-;-;-;-;-;-;1
"510628 Novo São Joaquim";-;-;1;-;-;-;-;-;-;-;1
"520030 Alexânia";-;-;-;-;-;-;-;-;1;-;1
"520060 Alto Paraíso de Goiás";-;-;-;-;-;-;-;-;1;-;1
"520140 Aparecida de Goiânia";-;1;-;-;-;-;-;-;-;-;1
"520549 Cidade Ocidental";-;-;1;-;-;-;-;-;-;-;1
"520630 Cristianópolis";-;-;1;-;-;-;-;-;-;-;1
"520640 Crixás";-;-;1;-;-;-;-;-;-;-;1
"520660 Cumari";-;-;-;-;-;-;-;-;1;-;1
"520860 Goianésia";-;1;-;-;-;-;-;-;-;-;1
"520870 Goiânia";-;1;1;-;-;-;-;-;-;1;3
"521190 Jataí";-;2;-;-;-;-;-;-;-;-;2
"521250 Luziânia";-;1;1;-;-;-;-;-;-;-;2
"521730 Pirenópolis";-;1;-;-;-;-;-;-;-;-;1
"521760 Planaltina";-;-;1;-;-;-;-;-;-;-;1
"521890 Rubiataba";-;-;1;-;-;-;-;-;-;-;1
"522010 São Luís de Montes Belos";-;-;-;-;-;-;-;-;-;1;1
"522045 Senador Canedo";-;-;-;-;-;-;-;-;-;1;1
"530010 Brasília";-;1;9;-;-;-;-;-;1;-;11
"Total";1;14;47;47;2;2;2;1;9;52;177
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano, selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
     em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
     e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007:
     selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual
     e em Seleções assinale Ano de 1ºs sintomas 2007).
 Dados de 2007 a 2014 atualizados em 12/06/2019.
 Dados de 2015 a 2016 atualizados em 04/05/2018, sujeitos à revisão.
