FEBRE AMARELA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"110020 Porto Velho";1;-;-;-;-;-;1
"130080 Borba";1;-;-;-;-;-;1
"130120 Coari";-;1;-;-;1;-;2
"130130 Codajás";-;-;-;-;2;-;2
"130185 Iranduba";-;-;-;1;-;1;2
"130190 Itacoatiara";1;-;-;1;-;-;2
"130250 Manacapuru";-;1;-;-;-;-;1
"130310 Nova Olinda do Norte";1;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;1;-;-;-;-;1
"140010 Boa Vista";1;-;-;-;1;-;2
"140030 Mucajaí";-;1;-;-;-;-;1
"150180 Breves";-;1;-;-;-;-;1
"150309 Goianésia do Pará";1;-;-;-;-;-;1
"150390 Juruti";2;-;-;-;-;-;2
"150420 Marabá";-;-;-;1;-;-;1
"150510 Óbidos";1;-;-;-;-;-;1
"160060 Santana";-;-;1;-;-;-;1
"310240 Alvorada de Minas";-;-;4;-;-;-;4
"310620 Belo Horizonte";2;-;1;-;-;-;3
"310740 Bom Despacho";-;1;-;-;-;-;1
"310900 Brumadinho";-;-;-;-;1;-;1
"311760 Conceição do Pará";1;-;-;-;-;-;1
"311860 Contagem";1;-;-;-;-;-;1
"312230 Divinópolis";1;-;-;-;-;-;1
"312260 Dom Joaquim";-;-;1;-;-;-;1
"312320 Dores do Indaiá";1;-;-;-;-;-;1
"312800 Guanhães";-;-;3;-;-;-;3
"313820 Lavras";1;-;-;-;-;-;1
"313830 Leandro Ferreira";6;-;-;-;-;-;6
"313880 Luz";1;-;-;-;-;-;1
"314050 Martinho Campos";1;-;-;-;-;-;1
"314060 Materlândia";-;-;1;-;-;-;1
"314520 Nova Serrana";4;-;-;-;-;-;4
"314710 Pará de Minas";1;-;-;-;-;-;1
"315550 Rio Paranaíba";1;-;-;-;-;-;1
"315680 Sabinópolis";-;-;18;-;-;-;18
"316040 Santo Antônio do Monte";4;-;-;-;-;-;4
"316610 Senhora do Porto";-;-;2;-;-;-;2
"316660 Serra da Saudade";1;-;-;-;-;-;1
"316710 Serro";-;5;16;-;-;-;21
"317020 Uberlândia";-;-;1;-;-;-;1
"355030 São Paulo";-;-;-;1;-;-;1
"510250 Cáceres";-;-;3;-;-;-;3
"510624 Nova Ubiratã";-;-;-;-;-;1;1
"510800 Tapurah";-;-;1;-;-;-;1
"Total";35;11;52;4;5;2;109
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan 
 Notas:
 
 Excluídos casos não residentes no Brasil
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados em série histórica selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
    em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados
    com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: série histórica de nº de casos, 2001 a 2005:
    selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos disponíveis-2001 até o ano atual e
    em Seleções assinale Ano de 1ºs sintomas de 2001 a 2005).
 Para cálculo da incidência utilize locais de infecção.
 Dados validados pela Gerência Técnica de Febre Amarela/CGDT/DEVEP/SVS/MS, em 19/07/2006.
 
