 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Faixa Etária detalhada e Unidade da Federação
Região: 3 Região Sudeste
Categoria CID-10: A95   Febre amarela
Período:2018
"Faixa Etária detalhada";"MG";"RJ";"SP";"Total"
"15 a 19 anos";-;3;1;4
"20 a 24 anos";1;2;4;7
"25 a 29 anos";3;1;8;12
"30 a 34 anos";3;3;7;13
"35 a 39 anos";7;7;3;17
"40 a 44 anos";11;4;10;25
"45 a 49 anos";21;10;11;42
"50 a 54 anos";14;6;11;31
"55 a 59 anos";10;12;6;28
"60 a 64 anos";11;17;7;35
"65 a 69 anos";10;8;4;22
"70 a 74 anos";1;4;2;7
"Total";92;77;74;243
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
