 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Faixa Etária detalhada e Unidade da Federação
Região: 3 Região Sudeste
Categoria CID-10: A95   Febre amarela
Período:2017
"Faixa Etária detalhada";"MG";"ES";"RJ";"SP";"Total"
"10 a 14 anos";-;1;-;-;1
"15 a 19 anos";1;3;-;-;4
"20 a 24 anos";2;2;-;-;4
"25 a 29 anos";-;3;-;2;5
"30 a 34 anos";6;13;1;-;20
"35 a 39 anos";9;6;-;1;16
"40 a 44 anos";13;8;-;1;22
"45 a 49 anos";7;15;1;4;27
"50 a 54 anos";9;11;1;1;22
"55 a 59 anos";9;5;-;1;15
"60 a 64 anos";9;7;1;-;17
"65 a 69 anos";3;9;-;2;14
"70 a 74 anos";2;2;-;-;4
"Total";70;85;4;12;171
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
