"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110001 ALTA FLORESTA D\'OESTE";"0";"316,27";"57,83";"135,91";"134,29";"111,60";"120,26";"118,77";"109,45";"99,25";"56,35";"88,97";"101,05";"137,59";"112,81";"111,05";"89,20";"106,43";"94,09";"100,75";"102,07";"100,26";"102,93";"129,33";"96,63";"101,41";"76,55";"110,16"
"110002 ARIQUEMES";"30,36";"31,83";"62,46";"106,60";"151,33";"123,68";"160,59";"125,15";"115,52";"109,22";"78,41";"109,98";"114,89";"168,93";"95,22";"108,29";"106,59";"107,41";"103,53";"120,39";"125,11";"108,89";"166,55";"102,73";"82,97";"82,13";"66,13";"103,46"
"110003 CABIXI";"0";"3,91";"93,89";"129,05";"124,02";"56,67";"87,78";"116,99";"83,55";"63,82";"112,37";"80,83";"94,29";"95,88";"133,06";"111,82";"89,09";"81,82";"69,09";"70,00";"110,94";"114,86";"104,00";"194,67";"139,73";"182,09";"79,10";"85,33"
"110004 CACOAL";"0,31";"69,64";"81,96";"101,56";"105,71";"100,85";"89,42";"107,09";"113,55";"95,12";"66,38";"99,50";"102,65";"108,62";"96,24";"96,13";"92,19";"85,13";"81,49";"80,23";"100,33";"103,54";"101,53";"107,57";"93,87";"79,20";"69,15";"86,84"
"110005 CEREJEIRAS";"14,32";"21,79";"94,15";"128,18";"149,89";"97,70";"94,92";"105,18";"119,27";"112,96";"90,07";"115,51";"124,32";"104,94";"113,74";"135,94";"116,59";"119,35";"125,81";"113,27";"101,63";"106,64";"122,49";"98,80";"99,24";"116,97";"76,53";"94,54"
"110006 COLORADO DO OESTE";"0";"1,37";"41,43";"86,73";"78,40";"76,18";"91,83";"130,79";"120,42";"124,00";"80,00";"115,89";"126,45";"113,69";"111,79";"101,83";"91,21";"83,88";"90,11";"100,84";"147,66";"103,52";"110,99";"124,54";"60,54";"68,31";"71,19";"77,07"
"110007 CORUMBIARA";"19,42";"8,85";"32,08";"79,84";"118,07";"86,07";"84,52";"90,91";"96,41";"100,52";"95,49";"145,71";"165,83";"156,82";"104,31";"160,66";"172,13";"127,87";"107,38";"133,67";"125,00";"116,38";"102,40";"144,00";"76,26";"139,08";"144,83";"88,87"
"110008 COSTA MARQUES";"0";"1,90";"10,79";"2,06";"65,81";"74,20";"63,91";"103,07";"77,81";"116,37";"103,18";"98,83";"101,11";"112,97";"107,32";"120,24";"124,21";"88,49";"92,86";"99,22";"133,33";"119,66";"124,34";"127,34";"118,31";"121,76";"56,02";"81,08"
"110009 ESPIGAO D\'OESTE";"22,32";"35,19";"65,21";"61,71";"122,32";"116,12";"84,73";"118,25";"114,29";"98,57";"68,88";"88,08";"157,06";"223,31";"90,76";"94,90";"78,64";"20,98";"83,74";"77,22";"101,26";"103,89";"106,87";"104,65";"88,89";"76,17";"58,91";"84,50"
"110010 GUAJARA-MIRIM";"0";"9,12";"64,32";"88,66";"103,83";"92,22";"146,58";"121,39";"90,74";"92,51";"66,74";"88,10";"234,57";"70,71";"88,26";"90,25";"84,64";"87,33";"100,56";"108,16";"78,83";"104,71";"112,83";"53,48";"68,10";"69,12";"28,38";"81,56"
"110011 JARU";"0";"50,38";"55,20";"96,56";"87,60";"133,40";"137,62";"121,12";"114,21";"101,65";"80,19";"111,54";"126,85";"208,96";"96,32";"91,58";"74,95";"79,96";"80,60";"83,22";"92,33";"102,52";"101,27";"100,23";"76,46";"97,87";"71,51";"88,92"
"110012 JI-PARANA";"0";"27,09";"105,35";"122,71";"134,72";"135,13";"169,46";"187,94";"104,24";"114,35";"68,59";"85,97";"103,93";"81,68";"135,73";"126,76";"131,81";"123,61";"116,46";"104,59";"100,39";"101,93";"103,73";"103,83";"77,23";"83,32";"69,02";"99,49"
"110013 MACHADINHO D\'OESTE";"21,70";"91,52";"88,22";"95,48";"98,02";"80,37";"109,30";"112,39";"103,33";"88,62";"61,56";"99,85";"103,16";"175,32";"91,95";"104,55";"95,12";"105,37";"88,62";"84,53";"91,88";"136,06";"111,44";"111,83";"101,76";"76,17";"77,51";"95,75"
